"Date","Team","Outcome","MyTaskCompleted","AllTeamTasksCompleted","Murdered","MyKills","TotalTimePerMin","Ejected","MySabotagesFixed"
"12/13/2020 at 1:46:30 am EST","Crewmate","Win",4,"No","Yes",NA,7.29,"No",2
"12/13/2020 at 1:37:06 am EST","Crewmate","Loss",8,"Yes","Yes",NA,8.24,"No",1
"12/13/2020 at 1:22:51 am EST","Imposter","Loss",NA,"-","-",1,14.26,"No",NA
"12/13/2020 at 12:57:45 am EST","Crewmate","Win",5,"No","No",NA,9.25,"No",1
"12/13/2020 at 12:47:41 am EST","Crewmate","Win",9,"Yes","Yes",NA,15.41,"No",0
"12/12/2020 at 9:08:08 pm EST","Imposter","Loss",NA,"-","-",3,21.05,"Yes",NA
"12/12/2020 at 8:45:09 pm EST","Crewmate","Win",7,"Yes","No",NA,12.34,"No",1
"12/12/2020 at 7:27:56 pm EST","Imposter","Win",NA,"-","-",2,4.07,"No",NA
"12/12/2020 at 7:22:17 pm EST","Crewmate","Loss",7,"Yes","No",NA,16.02,"No",1
"12/12/2020 at 7:04:19 pm EST","Crewmate","Loss",6,"No","No",NA,10.29,"Yes",0
"12/07/2020 at 7:49:19 pm EST","Crewmate","Loss",3,"No","No",NA,8,"Yes",0
"12/07/2020 at 7:38:42 pm EST","Imposter","Loss",NA,"-","-",2,11.53,"Yes",NA
"12/07/2020 at 7:24:21 pm EST","Crewmate","Loss",7,"Yes","No",NA,11.07,"No",0
"12/07/2020 at 5:57:28 pm EST","Crewmate","Loss",2,"No","No",NA,5.02,"No",1
"12/07/2020 at 5:52:10 pm EST","Crewmate","Win",5,"No","Yes",NA,5.19,"No",0
"12/06/2020 at 9:34:17 pm EST","Crewmate","Win",4,"No","No",NA,12.28,"No",1
"12/06/2020 at 8:53:12 pm EST","Imposter","Win",NA,"-","-",1,4.38,"No",NA
"12/06/2020 at 8:43:25 pm EST","Imposter","Loss",NA,"-","-",1,8.58,"No",NA
"12/06/2020 at 8:32:20 pm EST","Imposter","Loss",NA,"-","-",3,13.42,"Yes",NA
"12/06/2020 at 8:16:04 pm EST","Crewmate","Win",7,"Yes","No",NA,14.51,"No",1
"12/06/2020 at 8:00:17 pm EST","Imposter","Loss",NA,"-","-",1,12.35,"No",NA
"12/06/2020 at 6:11:03 pm EST","Imposter","Win",NA,"-","-",2,8.03,"No",NA
"12/06/2020 at 4:28:12 pm EST","Crewmate","Win",8,"Yes","Yes",NA,13.4,"No",1
"12/06/2020 at 4:02:47 pm EST","Imposter","Win",NA,"-","-",3,9.15,"No",NA
"12/06/2020 at 2:54:28 pm EST","Imposter","Loss",NA,"-","-",1,9.33,"Yes",NA
"12/06/2020 at 2:43:41 pm EST","Imposter","Win",NA,"-","-",1,5.05,"No",NA
"12/06/2020 at 2:37:10 pm EST","Crewmate","Win",7,"Yes","No",NA,14.32,"No",2
"12/05/2020 at 8:44:11 pm EST","Crewmate","Loss",6,"No","No",NA,7.1,"No",1
"12/05/2020 at 8:35:09 pm EST","Imposter","Loss",NA,"-","-",0,6.39,"No",NA
"12/05/2020 at 8:22:46 pm EST","Crewmate","Loss",9,"Yes","Yes",NA,13.02,"No",1
"12/05/2020 at 8:08:25 pm EST","Crewmate","Win",9,"Yes","Yes",NA,13.2,"No",0
"12/05/2020 at 7:53:56 pm EST","Crewmate","Win",9,"Yes","No",NA,14.26,"No",0
"12/05/2020 at 7:37:20 pm EST","Crewmate","Loss",3,"No","Yes",NA,7.44,"No",0
"12/05/2020 at 7:25:45 pm EST","Crewmate","Loss",9,"Yes","Yes",NA,16.5,"No",0
"12/05/2020 at 6:46:12 pm EST","Crewmate","Loss",2,"No","No",NA,6.18,"No",0
"12/05/2020 at 6:38:30 pm EST","Crewmate","Loss",7,"Yes","Yes",NA,8.47,"No",0
"12/05/2020 at 4:40:06 am EST","Crewmate","Win",6,"No","No",NA,8,"No",2
"12/05/2020 at 4:31:02 am EST","Crewmate","Win",8,"Yes","No",NA,16.05,"No",0
"12/05/2020 at 4:12:06 am EST","Crewmate","Win",7,"No","No",NA,10.31,"No",0
"12/05/2020 at 4:00:37 am EST","Crewmate","Loss",8,"Yes","Yes",NA,16.53,"No",0
"12/05/2020 at 3:36:37 am EST","Crewmate","Loss",7,"Yes","No",NA,13.03,"No",0
"12/05/2020 at 3:22:03 am EST","Crewmate","Win",7,"Yes","Yes",NA,14.03,"No",0
"12/05/2020 at 3:04:36 am EST","Crewmate","Win",7,"Yes","No",NA,19.17,"No",2
"12/04/2020 at 9:05:41 pm EST","Crewmate","Loss",5,"No","Yes",NA,8.3,"No",0
"12/04/2020 at 8:52:25 pm EST","Crewmate","Win",7,"No","No",NA,10.02,"No",0
"12/04/2020 at 8:41:34 pm EST","Crewmate","Win",8,"Yes","No",NA,15.29,"No",1
"12/04/2020 at 8:12:35 pm EST","Crewmate","Win",4,"No","No",NA,10.46,"No",0
"12/04/2020 at 8:00:23 pm EST","Crewmate","Loss",2,"No","Yes",NA,11.28,"No",0
"12/04/2020 at 7:44:11 pm EST","Crewmate","Loss",6,"No","No",NA,18.51,"No",2
"12/04/2020 at 7:22:32 pm EST","Crewmate","Loss",3,"No","Yes",NA,5.5,"No",1
"12/04/2020 at 5:30:21 pm EST","Imposter","Loss",NA,"-","-",2,16.35,"No",NA
"12/04/2020 at 5:11:45 pm EST","Crewmate","Loss",4,"No","Yes",NA,14.15,"No",0
"12/04/2020 at 4:56:10 pm EST","Imposter","Loss",NA,"-","-",2,12.48,"No",NA
"12/04/2020 at 4:22:36 pm EST","Crewmate","Win",7,"Yes","No",NA,10.08,"No",0
"12/04/2020 at 3:43:11 am EST","Crewmate","Win",6,"No","No",NA,8.21,"No",1
"12/04/2020 at 3:32:49 am EST","Crewmate","Loss",8,"Yes","Yes",NA,11.03,"No",2
"12/04/2020 at 3:18:16 am EST","Crewmate","Win",7,"Yes","Yes",NA,10.38,"No",0
"12/04/2020 at 3:04:39 am EST","Crewmate","Loss",6,"No","No",NA,9.13,"No",0
"12/03/2020 at 9:39:34 pm EST","Crewmate","Loss",8,"Yes","No",NA,14.24,"No",2
"12/03/2020 at 9:24:20 pm EST","Crewmate","Win",7,"Yes","No",NA,13.24,"No",1
"12/03/2020 at 9:09:45 pm EST","Crewmate","Win",1,"No","No",NA,6.53,"Yes",0
"12/03/2020 at 8:54:06 pm EST","Crewmate","Win",8,"Yes","No",NA,26.4,"No",4
"12/03/2020 at 8:25:53 pm EST","Crewmate","Win",8,"Yes","No",NA,18.25,"Yes",0
"12/03/2020 at 8:06:56 pm EST","Crewmate","Loss",8,"Yes","Yes",NA,15.55,"No",0
"12/03/2020 at 7:48:17 pm EST","Crewmate","Loss",4,"No","Yes",NA,9.18,"No",1
"12/03/2020 at 7:31:25 pm EST","Crewmate","Win",5,"Yes","Yes",NA,5.03,"No",0
"12/03/2020 at 1:17:44 am EST","Imposter","Loss",NA,"-","-",0,9.15,"No",NA
"12/03/2020 at 1:07:17 am EST","Crewmate","Win",3,"No","Yes",NA,3.19,"No",0
"12/03/2020 at 1:00:27 am EST","Crewmate","Loss",6,"No","Yes",NA,6.05,"No",0
"12/03/2020 at 12:30:26 am EST","Crewmate","Loss",0,"No","No",NA,5.06,"No",0
"12/02/2020 at 7:27:59 pm EST","Crewmate","Loss",0,"No","No",NA,0.18,"No",0
"12/02/2020 at 7:25:22 pm EST","Imposter","Win",NA,"-","-",2,7.43,"No",NA
"12/02/2020 at 7:17:08 pm EST","Crewmate","Win",5,"No","No",NA,4.52,"No",0
"12/02/2020 at 1:59:59 am EST","Crewmate","Win",8,"Yes","Yes",NA,11.19,"No",0
"12/02/2020 at 1:44:17 am EST","Crewmate","Loss",2,"No","Yes",NA,5,"No",0
"12/02/2020 at 1:38:30 am EST","Crewmate","Loss",8,"Yes","No",NA,11.19,"No",1
"12/02/2020 at 1:21:58 am EST","Crewmate","Win",2,"No","Yes",NA,5.59,"No",1
"12/02/2020 at 12:50:54 am EST","Crewmate","Win",1,"No","No",NA,4.28,"No",1
"12/02/2020 at 12:45:26 am EST","Crewmate","Loss",7,"No","Yes",NA,2.57,"No",0
"12/02/2020 at 12:41:48 am EST","Imposter","Win",NA,"-","-",8,3.14,"No",NA
"12/02/2020 at 12:30:05 am EST","Imposter","Win",NA,"-","-",2,8.57,"No",NA
"12/01/2020 at 10:37:18 pm EST","Imposter","Win",NA,"-","-",1,9.06,"No",NA
"12/01/2020 at 10:22:54 pm EST","Imposter","Loss",NA,"-","-",0,18.2,"No",NA
"12/01/2020 at 10:02:16 pm EST","Crewmate","Loss",4,"No","Yes",NA,4.51,"No",0
"12/01/2020 at 9:54:26 pm EST","Imposter","Win",NA,"-","-",2,5.5,"No",NA
"12/01/2020 at 9:48:21 pm EST","Imposter","Loss",NA,"-","-",2,5.58,"Yes",NA
"12/01/2020 at 8:04:46 pm EST","Crewmate","Loss",4,"No","Yes",NA,5.51,"No",1
"12/01/2020 at 7:51:30 pm EST","Crewmate","Win",8,"Yes","No",NA,14.1,"No",0
"12/01/2020 at 7:33:10 pm EST","Crewmate","Loss",7,"No","Yes",NA,9.5,"No",3
"11/30/2020 at 8:28:21 pm EST","Crewmate","Loss",9,"Yes","Yes",NA,11.11,"No",0
"11/30/2020 at 8:16:14 pm EST","Crewmate","Win",9,"Yes","No",NA,11.09,"No",2
"11/30/2020 at 8:04:06 pm EST","Crewmate","Win",8,"No","No",NA,11.51,"No",1
"11/30/2020 at 7:46:29 pm EST","Crewmate","Loss",6,"No","Yes",NA,7.5,"No",1
"11/30/2020 at 5:00:20 am EST","Crewmate","Loss",7,"Yes","Yes",NA,12.54,"No",2
"11/30/2020 at 4:45:39 am EST","Crewmate","Win",7,"Yes","No",NA,6.39,"No",2
"11/30/2020 at 4:31:33 am EST","Crewmate","Loss",7,"Yes","Yes",NA,20.2,"No",2
"11/30/2020 at 4:08:23 am EST","Crewmate","Loss",2,"No","No",NA,4.3,"No",0
"11/30/2020 at 3:55:21 am EST","Crewmate","Loss",4,"No","Yes",NA,3.48,"No",0
"11/30/2020 at 3:47:24 am EST","Crewmate","Win",1,"No","No",NA,13.39,"No",2
"11/30/2020 at 3:30:49 am EST","Crewmate","Loss",8,"Yes","Yes",NA,12.37,"No",0
